art_id,token
0,"[('erp', 'SL')]"
0,"[('프로그램', 'NNG')]"
0,"[('오류', 'NNG')]"
0,"[('장애', 'NNG'), ('조치', 'NNG')]"
0,"[('방법', 'NNG')]"
1,"[('이런', 'MM')]"
1,"[('PL', 'SL')]"
1,"[('있', 'VA'), ('나요', 'EC')]"
2,"[('어떻', 'VA'), ('게', 'EC')]"
2,"[('공부', 'NNG'), ('하', 'XSV'), ('면', 'EC')]"
2,"[('좋', 'VA'), ('을', 'ETM')]"
2,"[('지', 'NNP')]"
2,"[('여쭤', 'VV+EC'), ('보', 'VX'), ('고', 'EC')]"
2,"[('싶', 'VX'), ('습니다', 'EF')]"
3,"[('개인', 'NNG'), ('적', 'XSN'), ('으로', 'JKB')]"
3,"[('생각', 'NNG'), ('해', 'XSV+EC')]"
3,"[('본', 'VV+ETM')]"
3,"[('서울', 'NNP')]"
3,"[('vs', 'SL')]"
3,"[('지방', 'NNG')]"
3,"[('취업', 'NNG')]"
3,"[('장단점', 'NNG')]"
4,"[('이', 'MM'), ('정도', 'NNG')]"
4,"[('퀄리티', 'NNP'), ('의', 'JKB')]"
4,"[('영상', 'NNG'), ('은', 'JX')]"
4,"[('반드시', 'MAG')]"
4,"[('봐야', 'VV+EC')]"
4,"[('합니다', 'VV+EC')]"
5,"[('기술', 'NNG'), ('면접', 'NNG')]"
5,"[('관련', 'NNG'), ('해서', 'XSA+EC')]"
5,"[('질문', 'NNG'), ('이', 'JKS')]"
5,"[('있', 'VA'), ('습니다', 'EF')]"
6,"[('반', 'NNG'), ('프리', 'NNG')]"
6,"[('계약', 'NNG'), ('시', 'NNG')]"
6,"[('90', 'SN'), ('만', 'NR'), ('원', 'NNBC')]"
6,"[('vs', 'SL')]"
6,"[('200', 'SN'), ('만', 'NR'), ('원', 'NNBC')]"
6,"[('차이', 'NNG'), ('가', 'JKS')]"
6,"[('뭘까요', 'NP+VCP+EF')]"
7,"[('si', 'SL')]"
7,"[('프리랜서', 'NNG')]"
7,"[('제안', 'NNG')]"
7,"[('앞', 'NNG'), ('으로', 'JKB')]"
7,"[('진로', 'NNG')]"
8,"[('어떻', 'VA'), ('게', 'EC')]"
8,"[('공부', 'NNG'), ('를', 'JKO')]"
