art_id,token,type
0,erp,SL
0,프로그램,NNG
0,오류,NNG
0,장애조치,comp_NNG_NNP
0,방법,NNG
1,이런,MM
1,PL,SL
1,나요,EC
2,게,EC
2,하,XSV
2,면,EC
2,을,ETM
2,지,NNP
2,보,VX
2,고,EC
2,습니다,EF
3,적,XSN
3,으로,JKB
3,해,XSV+EC
3,본,VV+ETM
3,서울,NNP
3,vs,SL
3,지방,NNG
3,취업,NNG
3,장단점,NNG
4,정도,NNG
4,의,JKB
4,은,JX
4,반드시,MAG
4,봐야,VV+EC
4,합니다,VV+EC
5,기술면접,comp_NNG_NNP
5,해서,XSA+EC
5,이,JKS
5,습니다,EF
6,반프리,comp_NNG_NNP
6,계약시,comp_NNG_NNP
6,만,NR
6,원,NNBC
6,vs,SL
6,만,NR
6,원,NNBC
6,가,JKS
6,뭘까요,NP+VCP+EF
7,si,SL
7,프리랜서,NNG
7,제안,NNG
7,으로,JKB
7,진로,NNG
8,게,EC
8,를,JKO
8,면,EC
8,을까요,EC
9,프리랜서,NNG
9,임금체불,NNP
9,지급명령신청,comp_NNG_NNP
10,언어,NNG
10,를,JKO
10,끝낸,VV+ETM
10,컴공과,NNP
10,생,XSN
10,인데,VCP+EC
10,하,XSV
10,자마자,EC
10,카카오취업,comp_NNG_NNP
10,입니다,VCP+EC
10,당장,NNG
10,을,JKO
10,할까요,VV+EC
11,편입,NNG
11,vs,SL
11,재수,NNG
11,주,VX
11,세요,EP+EF
12,을,JKO
12,잘,MAG
12,는,ETM
12,님,XSN
12,이,JKS
12,한,XSA+ETM
12,으로,JKB
12,프로젝트,NNG
12,아,EC
12,오,VV
12,는,ETM
12,에선,JKB+JX
12,게,EC
12,버텨야,VV+EC
12,요,VCP+EC
13,오픈소스,comp_NNG_NNP
13,코드분석,comp_NNG_NNP
13,을,JKO
13,서부터,JKB
13,하,XSV
13,시,EP
13,나요,EC
14,우연히,MAG
14,한,XSV+ETM
14,영상,NNG
14,합니다,XSA+EC
15,신입,NNG
15,연봉,NNG
16,에서,JKB
16,서비스회사,comp_NNG_NNP
16,로,JKB
16,할려면,XSV+EC
16,경력,NNG
16,은,JX
16,는,ETM
16,게,NNB+JKS
16,을까요,EC
17,노트북,NNG
17,자동엔터,comp_NNG_NNP
